,target
1396,1
1397,1
1407,1
1408,1
1409,1
1411,1
1417,1
1423,1
1426,1
1438,1
1440,1
1442,1
1446,1
1449,1
1450,1
1451,1
1453,1
1459,1
1466,1
1477,1
1479,1
1483,1
1484,1
1486,1
1491,1
1497,1
1498,1
1503,1
1516,1
1517,1
1520,1
1523,1
1525,1
1527,1
1529,1
1534,1
1538,1
1539,1
1560,1
1563,1
1566,1
1568,1
1570,1
1572,1
1586,1
1588,1
1589,1
1590,1
1591,1
1592,1
1605,1
1606,1
1607,1
1616,1
1618,1
1625,1
1628,1
1634,1
1646,1
1654,1
1655,1
1661,1
1665,1
1668,1
1669,1
1671,1
1677,1
1680,1
1681,1
1682,1
1683,1
1697,1
1699,1
1707,1
1713,1
1717,1
1721,1
1724,1
1730,1
1732,1
1733,1
1735,1
1737,1
1740,1
1742,1
1744,1
1745,1
1749,1
1750,1
1751,1
1779,1
1780,1
1782,1
1784,1
1788,1
1789,1
1792,1
1815,1
1824,1
1826,1
1832,1
1834,1
1843,1
1847,1
1854,1
1856,1
1861,1
1874,1
1878,1
1879,1
1889,1
1896,1
1905,1
1908,1
1910,1
1916,1
1919,1
1920,1
1928,1
1929,1
1937,1
1944,1
1947,1
1958,1
1964,1
1969,1
1970,1
1977,1
1991,1
1992,1
1993,1
1994,1
1996,1
1999,1
2000,1
2001,1
2006,1
2008,1
2009,1
2012,1
2016,1
2018,1
2021,1
2023,1
2042,1
2043,1
2045,1
2046,1
2053,1
2054,1
2057,1
2063,1
2064,1
2065,1
2069,1
2072,1
2073,1
2074,1
2076,1
2080,1
2081,1
2097,1
2102,1
2105,1
2118,1
2121,1
2130,1
2131,1
2132,1
2148,1
2154,1
2157,1
2158,1
2160,1
2162,1
2180,1
2181,1
2182,1
2207,1
2209,1
2211,1
2216,1
2218,1
2234,1
2237,1
2238,1
2239,1
2244,1
2266,1
2268,1
2279,1
2283,1
2291,1
2292,1
2294,1
2299,1
2303,1
2323,1
2324,1
2335,1
2340,1
2342,1
2343,1
2355,1
2381,1
2386,1
2392,1
2394,1
2401,1
2405,1
2412,1
2421,1
2426,1
2429,1
2446,1
2460,1
2469,1
2472,1
2481,1
2483,1
2491,1
2493,1
2494,1
2500,1
2503,1
2507,1
2509,1
2514,1
2528,1
2533,1
2542,1
2545,1
2547,1
2553,1
2558,1
2566,1
2569,1
2574,1
2580,1
2581,1
2586,1
2592,1
2593,1
2601,1
2607,1
2610,1
2618,1
2619,1
2623,1
2628,1
2630,1
2632,1
2640,1
2642,1
2651,1
2652,1
2665,1
2667,1
2670,1
2678,1
2689,1
2693,1
2694,1
2704,1
2715,1
2738,1
2750,1
2753,1
2757,1
2765,1
2771,1
2775,1
2777,1
2780,1
2796,1
2801,1
2802,1
2804,1
2817,1
2838,1
2839,1
2847,1
2850,1
2851,1
2852,1
2853,1
2855,1
2865,1
2868,1
2870,1
2894,1
2897,1
2904,1
2905,1
2912,1
2915,1
2916,1
2920,1
2937,1
2939,1
2942,1
2943,1
2949,1
2953,1
2954,1
2957,1
2962,1
2967,1
2972,1
2987,1
2988,1
2990,1
2992,1
2995,1
2996,1
2997,1
3001,1
3006,1
3011,1
3013,1
3020,1
3021,1
3023,1
3030,1
3041,1
3044,1
3046,1
3062,1
3065,1
3069,1
3071,1
3073,1
3074,1
3083,1
3095,1
3112,1
3116,1
3118,1
3119,1
3123,1
3125,1
3126,1
3128,1
3144,1
3149,1
3154,1
3158,1
3164,1
3165,1
3170,1
3173,1
3182,1
3195,1
3200,1
3203,1
3206,1
3210,1
3211,1
3221,1
3232,1
3236,1
3238,1
3243,1
3248,1
3251,1
3252,1
3256,1
3266,1
3272,1
3275,1
3278,1
3282,1
3283,1
3284,1
3299,1
3300,1
3305,1
3309,1
3311,1
3329,1
3337,1
3340,1
3356,1
3357,1
3358,1
3368,1
3370,1
3374,1
3379,1
3383,1
3385,1
3390,1
3397,1
3398,1
3408,1
3415,1
3416,1
3431,1
3435,1
3439,1
3442,1
3449,1
3455,1
3458,1
3463,1
3468,1
3469,1
3470,1
3473,1
3475,1
3476,1
3478,1
3479,1
3485,1
3488,1
3489,1
3500,1
3503,1
3505,1
3509,1
3511,1
3514,1
3515,1
3529,1
3530,1
3533,1
3540,1
3557,1
3560,1
3561,1
3569,1
3571,1
3574,1
3580,1
3598,1
3609,1
3611,1
3617,1
3621,1
3624,1
3627,1
3629,1
3635,1
3658,1
3659,1
3664,1
3669,1
3672,1
3676,1
3679,1
3680,1
3686,1
3687,1
3688,1
3689,1
3692,1
3697,1
3698,1
3715,1
3716,1
3723,1
3731,1
3737,1
3740,1
3748,1
3762,1
3772,1
3776,1
3788,1
3793,1
3796,1
3798,1
3806,1
3807,1
3816,1
3819,1
3834,1
3845,1
3848,1
3849,1
3855,1
3862,1
3874,1
3880,1
3888,1
3895,1
3901,1
3902,1
3923,1
3930,1
3939,1
3949,1
3955,1
3978,1
3984,1
3985,1
3992,1
4003,1
4006,1
4007,1
4010,1
4034,1
4036,1
4038,1
4043,1
4053,1
4055,1
4057,1
4059,1
4062,1
4064,1
4065,1
4066,1
4068,1
4069,1
4070,1
4079,1
4096,1
4103,1
4106,1
4111,1
4112,1
4130,1
4131,1
4134,1
4135,1
4139,1
4142,1
4144,1
4154,1
4157,1
4160,1
4164,1
4167,1
4171,1
4180,1
4182,1
4186,1
4190,1
4192,1
4197,1
4202,1
4205,1
4208,1
4213,1
4220,1
4222,1
4224,1
4229,1
4242,1
4243,1
4250,1
4256,1
4258,1
4265,1
4272,1
4275,1
4279,1
4283,1
4287,1
4289,1
4298,1
4311,1
4315,1
4320,1
4328,1
4332,1
4336,1
4339,1
4341,1
4342,1
4343,1
4349,1
4362,1
4364,1
4366,1
4367,1
4375,1
4384,1
4389,1
4393,1
4397,1
4398,1
4400,1
4402,1
4403,1
4404,1
4405,1
4411,1
4421,1
4423,1
4428,1
4430,1
4441,1
4443,1
4448,1
4449,1
4450,1
4452,1
4454,1
4459,1
4465,1
4467,1
4471,1
4473,1
4474,1
4477,1
4479,1
4486,1
4493,1
4495,1
4523,1
4524,1
4525,1
4530,1
4544,1
4545,1
4555,1
4557,1
4582,1
4588,1
4598,1
4602,1
4604,1
4605,1
4607,1
4611,1
4614,1
4628,1
4636,1
4641,1
4643,1
4650,1
4651,1
4658,1
4659,1
4661,1
4662,1
4672,1
4673,1
4675,1
4679,1
4685,1
4687,1
4690,1
4691,1
4694,1
4699,1
4701,1
4702,1
4709,1
4716,1
4729,1
4732,1
4742,1
4746,1
4749,1
4751,1
4756,1
4763,1
4766,1
4782,1
4789,1
4791,1
4794,1
4795,1
4796,1
4815,1
4818,1
4819,1
4820,1
4826,1
4829,1
4841,1
4854,1
4860,1
4868,1
4869,1
4875,1
4878,1
4880,1
4882,1
4898,1
4900,1
4902,1
4904,1
4906,1
4910,1
4917,1
4924,1
4925,1
4934,1
4940,1
4956,1
4964,1
4965,1
4966,1
4971,1
4981,1
4982,1
4989,1
4995,1
4997,1
4998,1
4999,1
5000,1
5007,1
5009,1
5013,1
5015,1
5016,1
5033,1
5038,1
5042,1
5056,1
5062,1
5065,1
5072,1
5077,1
5082,1
5099,1
5102,1
5105,1
5106,1
5107,1
5109,1
5123,1
5135,1
5138,1
5139,1
5140,1
5142,1
5144,1
5153,1
5169,1
5173,1
5174,1
5179,1
5193,1
5196,1
5207,1
5209,1
5212,1
5222,1
5223,1
5245,1
5248,1
5255,1
5264,1
5266,1
5271,1
5273,1
5276,1
5278,1
5280,1
5281,1
5286,1
5292,1
5306,1
5309,1
5323,1
5342,1
5344,1
5354,1
5355,1
5357,1
5371,1
5374,1
5378,1
5379,1
5381,1
5382,1
5387,1
5394,1
5395,1
5398,1
5399,1
5404,1
5407,1
5409,1
5410,1
5419,1
5420,1
5421,1
5425,1
5439,1
5442,1
5443,1
5447,1
5448,1
5454,1
5455,1
5461,1
5464,1
5465,1
5472,1
5473,1
5481,1
5487,1
5489,1
5491,1
5506,1
5515,1
5517,1
5518,1
5529,1
5530,1
5531,1
5533,1
5540,1
5541,1
5551,1
5554,1
5555,1
5557,1
5568,1
5580,1
5582,1
5587,1
5589,1
5595,1
5596,1
5597,1
5598,1
5601,1
5607,1
5618,1
5622,1
5631,1
5641,1
5650,1
5656,1
5661,1
5686,1
5687,1
5691,1
5693,1
5707,1
5711,1
5714,1
5717,1
5720,1
5721,1
5724,1
5730,1
5732,1
5737,1
5738,1
5742,1
5744,1
5748,1
5754,1
5755,1
5756,1
5757,1
5761,1
5769,1
5770,1
5773,1
5780,1
5790,1
5798,1
5801,1
5809,1
5813,1
5815,1
5832,1
5834,1
5836,1
5837,1
5842,1
5848,1
5850,1
5851,1
5852,1
5860,1
5861,1
5864,1
5867,1
5876,1
5878,1
5882,1
5883,1
5887,1
5888,1
5892,1
5896,1
5903,1
5905,1
5908,1
5910,1
5911,1
5916,1
5922,1
5930,1
5942,1
5945,1
5948,1
5958,1
5960,1
5961,1
5966,1
5972,1
5973,1
5980,1
5987,1
5989,1
6001,1
6007,1
6012,1
6015,1
6019,1
6046,1
6053,1
6060,1
6069,1
6071,1
6075,1
6085,1
6090,1
6091,1
6095,1
6096,1
6103,1
6104,1
6107,1
6108,1
6109,1
6114,1
6118,1
6122,1
6127,1
6128,1
6131,1
6143,1
6150,1
6153,1
6155,1
6158,1
6159,1
6162,1
6163,1
6167,1
6179,1
6181,1
6190,1
6192,1
6197,1
6204,1
6205,1
6210,1
6214,1
6217,1
6220,1
6222,1
6228,1
6232,1
6234,1
6238,1
6241,1
6246,1
6251,1
6258,1
6264,1
6265,1
6270,1
6284,1
6291,1
6298,1
6306,1
6309,1
6320,1
6326,1
6327,1
6337,1
6338,1
6343,1
6358,1
6363,1
6369,1
6371,1
6374,1
6379,1
6385,1
6388,1
6389,1
6393,1
6394,1
6404,1
6409,1
6412,1
6414,1
6415,1
6417,1
6418,1
6422,1
6427,1
6428,1
6442,1
6445,1
6446,1
6455,1
6457,1
6465,1
6475,1
6478,1
6483,1
6503,1
6510,1
6525,1
6526,1
6529,1
6534,1
6538,1
6542,1
6551,1
6552,1
6556,1
6557,1
6569,1
6572,1
6577,1
6580,1
6591,1
6593,1
6594,1
6595,1
6599,1
6602,1
6603,1
6604,1
6613,1
6624,1
6630,1
6635,1
6646,1
6647,1
6651,1
6652,1
6653,1
6657,1
6660,1
6669,1
6670,1
6677,1
6683,1
6685,1
6689,1
6694,1
6704,1
6709,1
6719,1
6721,1
6734,1
6736,1
6751,1
6753,1
6756,1
6766,1
6770,1
6784,1
6785,1
6789,1
6810,1
6813,1
6818,1
6820,1
6822,1
6827,1
6830,1
6832,1
6834,1
6835,1
6836,1
6848,1
6852,1
6862,1
6866,1
6870,1
6881,1
6894,1
6898,1
6903,1
6905,1
6907,1
6908,1
6923,1
6925,1
6932,1
6934,1
6937,1
6946,1
6957,1
6958,1
6960,1
6963,1
6969,1
6977,1
6984,1
6993,1
6999,1
7021,1
7022,1
7032,1
7034,1
7040,1
7041,1
7043,1
7044,1
7046,1
7047,1
7055,1
7059,1
7061,1
7062,1
7070,1
7075,1
7080,1
7082,1
7083,1
7085,1
7097,1
7109,1
7110,1
7113,1
7117,1
7118,1
7123,1
7139,1
7142,1
7145,1
7148,1
7152,1
7155,1
7156,1
7165,1
7169,1
7173,1
7175,1
7182,1
7191,1
7193,1
7200,1
7203,1
7210,1
7221,1
7231,1
7234,1
7239,1
7245,1
7247,1
7251,1
7252,1
7253,1
7260,1
7262,1
7265,1
7269,1
7282,1
7302,1
7303,1
7304,1
7306,1
7316,1
7321,1
7326,1
7335,1
7336,1
7337,1
7342,1
7345,1
7361,1
7373,1
7380,1
7384,1
7385,1
7391,1
7404,1
7414,1
7419,1
7420,1
7423,1
7424,1
7425,1
7426,1
7435,1
7440,1
7443,1
7447,1
7451,1
7455,1
7456,1
7469,1
7471,1
7476,1
7479,1
7482,1
7488,1
7492,1
7499,1
7508,1
7532,1
7537,1
7541,1
7542,1
7549,1
7551,1
7552,1
7554,1
7555,1
7556,1
7559,1
7563,1
7571,1
7574,1
7575,1
7580,1
7583,1
7584,1
7585,1
7587,1
7588,1
7590,1
7602,1
7617,1
7629,1
7637,1
7654,1
7656,1
7659,1
7675,1
7676,1
7677,1
7679,1
7685,1
7687,1
7689,1
7691,1
7696,1
7697,1
7703,1
7709,1
7718,1
7719,1
7721,1
7722,1
7724,1
7727,1
7728,1
7729,1
7737,1
7746,1
7753,1
7756,1
7759,1
7762,1
7775,1
7778,1
7779,1
7783,1
7790,1
7791,1
7796,1
7797,1
7810,1
7812,1
7814,1
7821,1
7824,1
7825,1
7832,1
7833,1
7835,1
7858,1
7860,1
7868,1
7870,1
7875,1
7877,1
7878,1
7879,1
7880,1
7882,1
7886,1
7892,1
7893,1
7897,1
7901,1
7907,1
7911,1
7919,1
7922,1
7928,1
7941,1
7943,1
7951,1
7958,1
7968,1
7970,1
7971,1
7977,1
7978,1
7982,1
7995,1
7998,1
8003,1
8008,1
8012,1
8025,1
8027,1
8032,1
8042,1
8052,1
8058,1
8060,1
8066,1
8068,1
8089,1
8097,1
8109,1
8112,1
8114,1
8119,1
8123,1
8129,1
8130,1
8132,1
8140,1
8142,1
8145,1
8151,1
8155,1
8157,1
8164,1
8169,1
8170,1
8171,1
8173,1
8180,1
8192,1
8193,1
8198,1
8220,1
8222,1
8224,1
8233,1
8237,1
8241,1
8242,1
8253,1
8260,1
8261,1
8263,1
8265,1
8267,1
8269,1
8273,1
8285,1
8288,1
8293,1
8294,1
8313,1
8314,1
8327,1
8330,1
8332,1
8333,1
8342,1
8344,1
8346,1
8350,1
8352,1
8366,1
8370,1
8375,1
8377,1
8382,1
8394,1
8395,1
8397,1
8398,1
8406,1
8407,1
8413,1
8418,1
8422,1
8427,1
8428,1
8434,1
8437,1
8439,1
8444,1
8452,1
8460,1
8461,1
8466,1
8477,1
8478,1
8479,1
8484,1
8487,1
8489,1
8490,1
8496,1
8507,1
8514,1
8517,1
8521,1
8527,1
8533,1
8540,1
8545,1
8560,1
8564,1
8571,1
8576,1
8578,1
8579,1
8580,1
8581,1
8583,1
8584,1
8588,1
8605,1
8607,1
8608,1
8616,1
8618,1
8619,1
8635,1
8638,1
8645,1
8650,1
8655,1
8656,1
8667,1
8670,1
8678,1
8682,1
8686,1
8691,1
8695,1
8697,1
8703,1
8705,1
8706,1
8709,1
8711,1
8714,1
8719,1
8726,1
8730,1
8732,1
8750,1
8760,1
8774,1
8778,1
8788,1
8791,1
8804,1
8815,1
8818,1
8822,1
8826,1
8827,1
8834,1
8838,1
8845,1
8850,1
8856,1
8858,1
8865,1
8869,1
8878,1
8881,1
8882,1
8889,1
8893,1
8896,1
8906,1
8916,1
8923,1
8936,1
8941,1
8962,1
8972,1
8977,1
8985,1
8988,1
8989,1
8997,1
9008,1
9013,1
9028,1
9036,1
9049,1
9057,1
9059,1
9061,1
9064,1
9075,1
9078,1
9081,1
9085,1
9086,1
9089,1
9099,1
9101,1
9102,1
9107,1
9114,1
9118,1
9126,1
9128,1
9132,1
9135,1
9140,1
9145,1
9147,1
9148,1
9149,1
9159,1
9165,1
9173,1
9180,1
9185,1
9193,1
9202,1
9203,1
9210,1
9213,1
9221,1
9222,1
9223,1
9225,1
9226,1
9227,1
9245,1
9253,1
9254,1
9270,1
9274,1
9287,1
9290,1
9291,1
9294,1
9302,1
9310,1
9311,1
9312,1
9314,1
9316,1
9319,1
9330,1
9331,1
9339,1
9341,1
9348,1
9352,1
9357,1
9359,1
9365,1
9368,1
9375,1
9381,1
9385,1
9386,1
9387,1
9390,1
9392,1
9394,1
9396,1
9397,1
9400,1
9408,1
9411,1
9414,1
9419,1
9424,1
9425,1
9430,1
9433,1
9445,1
9446,1
9452,1
9461,1
9464,1
9465,1
9470,1
9474,1
9476,1
9477,1
9486,1
9489,1
9493,1
9494,1
9501,1
9506,1
9513,1
9517,1
9519,1
9524,1
9525,1
9558,1
9561,1
9571,1
9579,1
9581,1
9589,1
9593,1
9600,1
9602,1
9614,1
9615,1
9623,1
9626,1
9629,1
9636,1
9652,1
9659,1
9660,1
9663,1
9664,1
9667,1
9670,1
9676,1
9685,1
9698,1
9704,1
9705,1
9709,1
9710,1
9711,1
9714,1
9730,1
9734,1
9738,1
9739,1
9740,1
9742,1
9747,1
9749,1
9754,1
9758,1
9765,1
9769,1
9770,1
9777,1
9782,1
9788,1
9789,1
9797,1
9808,1
9820,1
9832,1
9837,1
9846,1
9851,1
9852,1
9857,1
9861,1
9862,1
9878,1
9881,1
9883,1
9890,1
9892,1
9893,1
9895,1
9899,1
9900,1
9902,1
9904,1
9907,1
9909,1
9918,1
9924,1
9932,1
9934,1
9937,1
9939,1
9942,1
9947,1
9951,1
9954,1
9956,1
9962,1
9966,1
9971,1
9982,1
9985,1
9990,1
9993,1
9998,1
10010,1
10020,1
10024,1
10035,1
10039,1
10041,1
10043,1
10045,1
10062,1
10082,1
10098,1
10102,1
10107,1
10108,1
10110,1
10112,1
10115,1
10119,1
10129,1
10137,1
10138,1
10143,1
10150,1
10152,1
10156,1
10167,1
10171,1
10176,1
10181,1
10187,1
10189,1
10190,1
10199,1
10208,1
10211,1
10213,1
10224,1
10229,1
10230,1
10231,1
10234,1
10237,1
10244,1
10248,1
10250,1
10254,1
10264,1
10272,1
10273,1
10277,1
10278,1
10283,1
10284,1
10286,1
10290,1
10296,1
10298,1
10301,1
10306,1
10310,1
10315,1
10328,1
10338,1
10355,1
10361,1
10399,1
10402,1
10405,1
10410,1
10416,1
10421,1
10424,1
10425,1
10430,1
10433,1
10436,1
10443,1
10444,1
10445,1
10453,1
10465,1
10473,1
10480,1
10482,1
10485,1
10494,1
10498,1
10500,1
10506,1
10509,1
10510,1
10514,1
10524,1
10530,1
10531,1
10533,1
10540,1
10544,1
10547,1
10560,1
10562,1
10568,1
10572,1
10589,1
10599,1
10615,1
10617,1
10641,1
10644,1
10646,1
10647,1
10649,1
10653,1
10663,1
10664,1
10665,1
10673,1
10675,1
10682,1
10688,1
10689,1
10690,1
10692,1
10696,1
10702,1
10706,1
10710,1
10711,1
10715,1
10717,1
10726,1
10727,1
10737,1
10753,1
10755,1
10756,1
10757,1
10762,1
10763,1
10765,1
10773,1
10783,1
10795,1
10800,1
10804,1
10814,1
10815,1
10818,1
10824,1
10825,1
10828,1
10830,1
10836,1
10843,1
10857,1
10868,1
10870,1
10874,1
10878,1
10881,1
10883,1
10884,1
10893,1
10896,1
10898,1
10902,1
10907,1
10908,1
10922,1
10926,1
10928,1
10931,1
10941,1
10943,1
10952,1
10953,1
10967,1
10980,1
10983,1
10993,1
10994,1
10995,1
10998,1
10999,1
11009,1
11023,1
11025,1
11027,1
11028,1
11030,1
11031,1
11032,1
11042,1
11045,1
11046,1
11057,1
11071,1
11074,1
11080,1
11083,1
11084,1
11087,1
11100,1
11101,1
11102,1
11104,1
11106,1
11116,1
11117,1
11123,1
11128,1
11131,1
11133,1
11137,1
11146,1
11147,1
11155,1
11162,1
11168,1
11171,1
11173,1
11175,1
11176,1
11177,1
11183,1
11188,1
11189,1
11199,1
11203,1
11204,1
11207,1
11208,1
11210,1
11212,1
11225,1
11231,1
11236,1
11255,1
11258,1
11268,1
11271,1
11282,1
11287,1
11296,1
11305,1
11307,1
11308,1
11312,1
11315,1
11325,1
11327,1
11330,1
11331,1
11333,1
11338,1
11345,1
11346,1
11350,1
11351,1
11354,1
11359,1
11365,1
11375,1
11378,1
11393,1
11397,1
11398,1
11406,1
11418,1
11423,1
11440,1
11455,1
11462,1
11464,1
11466,1
11477,1
11480,1
11482,1
11485,1
11498,1
11500,1
11501,1
11504,1
11512,1
11515,1
11517,1
11521,1
11522,1
11524,1
11528,1
11531,1
11534,1
11541,1
11547,1
11550,1
11553,1
11556,1
11572,1
11578,1
11582,1
11583,1
11585,1
11587,1
11591,1
11593,1
11596,1
11602,1
11606,1
11607,1
11609,1
11622,1
11624,1
11625,1
11631,1
11640,1
11643,1
11645,1
11654,1
11658,1
11663,1
11665,1
11669,1
11676,1
11677,1
11684,1
11693,1
11698,1
11702,1
11703,1
11704,1
11713,1
11714,1
11715,1
11718,1
11720,1
11724,1
11744,1
11750,1
11760,1
11761,1
11765,1
11768,1
11770,1
11780,1
11781,1
11794,1
11796,1
11797,1
11799,1
11800,1
11802,1
11811,1
11814,1
11815,1
11819,1
11825,1
11835,1
11836,1
11838,1
11839,1
11843,1
11849,1
11855,1
11857,1
11866,1
11869,1
11872,1
11881,1
11886,1
11887,1
11888,1
11898,1
11902,1
11907,1
11912,1
11916,1
11917,1
11926,1
11927,1
11932,1
11941,1
11945,1
11946,1
11966,1
11969,1
11971,1
11972,1
11978,1
11979,1
11982,1
11986,1
11997,1
12002,1
12009,1
12012,1
12016,1
12017,1
12019,1
12024,1
12028,1
12031,1
12033,1
12038,1
12043,1
12044,1
12048,1
12054,1
12056,1
12067,1
12076,1
12077,1
12081,1
12090,1
12091,1
12099,1
12103,1
12106,1
12111,1
12115,1
12133,1
12140,1
12143,1
12144,1
12148,1
12159,1
12164,1
12166,1
12170,1
12171,1
12172,1
12178,1
12180,1
12181,1
12190,1
12191,1
12194,1
12200,1
12203,1
12205,1
12218,1
12225,1
12237,1
12240,1
12243,1
12244,1
12247,1
12252,1
12256,1
12261,1
12273,1
12281,1
12284,1
12292,1
12293,1
12298,1
12299,1
12301,1
12302,1
12321,1
12324,1
12337,1
12360,1
12362,1
12364,1
12366,1
12368,1
12370,1
12371,1
12372,1
12373,1
12379,1
12385,1
12386,1
12397,1
12400,1
12404,1
12405,1
12419,1
12421,1
12428,1
12433,1
12437,1
12438,1
12439,1
12441,1
12446,1
12447,1
12451,1
12453,1
12462,1
12465,1
12468,1
12472,1
12477,1
12485,1
12486,1
12497,1
12505,1
12507,1
12508,1
12511,1
12516,1
12517,1
12526,1
12531,1
12547,1
12558,1
12567,1
12591,1
12596,1
12597,1
12598,1
12600,1
12605,1
12608,1
12611,1
12616,1
12629,1
12636,1
12639,1
12643,1
12644,1
12650,1
12653,1
12659,1
12662,1
12671,1
12680,1
12690,1
12691,1
12695,1
12703,1
12708,1
12717,1
12718,1
12720,1
12721,1
12722,1
12733,1
12735,1
12736,1
12744,1
12747,1
12749,1
12752,1
12759,1
12766,1
12774,1
12777,1
12780,1
12787,1
12792,1
12802,1
12807,1
12811,1
12813,1
12818,1
12824,1
12827,1
12835,1
12838,1
12841,1
12859,1
12871,1
12874,1
12892,1
12901,1
12904,1
12908,1
12916,1
12924,1
12928,1
12948,1
12954,1
12955,1
12962,1
12965,1
12969,1
12972,1
12973,1
12978,1
12981,1
12988,1
12989,1
12996,1
13001,1
13015,1
13028,1
13031,1
13033,1
13035,1
13039,1
13046,1
13047,1
13052,1
13055,1
13059,1
13068,1
13072,1
13081,1
13090,1
13092,1
13100,1
13101,1
13114,1
13115,1
13119,1
13128,1
13130,1
13133,1
13137,1
13138,1
13139,1
13144,1
13147,1
13150,1
13151,1
13153,1
13164,1
13171,1
13172,1
13174,1
13181,1
13182,1
13192,1
13194,1
13195,1
13205,1
13209,1
13212,1
13216,1
13217,1
13223,1
13229,1
13230,1
13232,1
13239,1
13250,1
13251,1
13253,1
13254,1
13257,1
13259,1
13261,1
13268,1
13276,1
13283,1
13293,1
13294,1
13307,1
13310,1
13314,1
13316,1
13318,1
13321,1
13333,1
13340,1
13342,1
13345,1
13350,1
13352,1
13360,1
13367,1
13368,1
13375,1
13376,1
13383,1
13391,1
13392,1
13393,1
13399,1
13401,1
13419,1
13423,1
13434,1
13441,1
13443,1
13469,1
13480,1
13490,1
13491,1
13493,1
13494,1
13496,1
13502,1
13504,1
13507,1
13515,1
13518,1
13519,1
13521,1
13524,1
13525,1
13527,1
13532,1
13533,1
13539,1
13544,1
13552,1
13561,1
13566,1
13567,1
13580,1
13583,1
13585,1
13590,1
13597,1
13606,1
13626,1
13630,1
13636,1
13649,1
13653,1
13663,1
13666,1
13670,1
13673,1
13680,1
13684,1
13685,1
13687,1
13689,1
13693,1
13695,1
13696,1
13698,1
13717,1
13731,1
13735,1
13737,1
13740,1
13749,1
13757,1
13758,1
13760,1
13773,1
13779,1
13789,1
13797,1
13806,1
13808,1
13812,1
13821,1
13824,1
13831,1
13835,1
13839,1
13840,1
13844,1
13846,1
13848,1
13851,1
13854,1
13857,1
13869,1
13873,1
13875,1
13876,1
13879,1
13881,1
13884,1
13903,1
13911,1
13913,1
13915,1
13919,1
13921,1
13923,1
13942,1
13951,1
13954,1
13957,1
13960,1
13961,1
13962,1
13964,1
13965,1
13967,1
13970,1
13971,1
14002,1
14004,1
14005,1
14018,1
14020,1
14021,1
14022,1
14034,1
14051,1
14079,1
14082,1
14086,1
14088,1
14092,1
14097,1
14105,1
14107,1
14115,1
14117,1
14118,1
14125,1
14126,1
14128,1
14133,1
14139,1
14140,1
14146,1
14152,1
14155,1
14160,1
14164,1
14165,1
14166,1
14168,1
14182,1
14185,1
14187,1
14189,1
14203,1
14207,1
14210,1
14211,1
14213,1
14217,1
14218,1
14219,1
14229,1
14230,1
14236,1
14250,1
14251,1
14252,1
14253,1
14254,1
14259,1
14261,1
14270,1
14282,1
14290,1
14292,1
14301,1
14302,1
14316,1
14323,1
14329,1
14333,1
14334,1
14346,1
14351,1
